campaign,publisher,date,installs,d90_arpu,d90_arpu_pred
736523,2340,2023-06-21,8,1.2033202534504344,1.4287378189093847
736523,2340,2023-06-22,8,0.6696857499999999,1.337394265892048
736523,2340,2023-06-23,8,2.53232925,1.4015043355337715
736523,2340,2023-06-24,4,19.112945,1.998227608616593
736523,2340,2023-06-25,7,2.7241384206486265,1.228931944249912
736523,2340,2023-06-26,5,1.2095916,1.2171547248904055
736523,2340,2023-06-27,4,0.4166477499999999,1.1483403120284326
736523,2340,2023-06-28,8,0.8922173749999999,1.212876863802144
736523,2340,2023-06-29,5,0.5453768,1.1320510592787945
736523,2340,2023-06-30,2,1.143776,1.1177275434643144
736523,2340,2023-07-01,3,0.5039283333333334,1.3047991726280068
736523,2340,2023-07-02,3,1.6632556119416668,1.1025174021435948
736523,2340,2023-07-03,2,1.564273,1.110827418217863
736523,2340,2023-07-04,1,0.114454,1.0463246563490258
736523,2340,2023-07-05,1,0.376289,1.088749392641176
736523,2340,2023-07-06,1,0.413235,1.0195941127944352
736523,2340,2023-07-07,6,1.1470843292859432,0.9211423483619186
736523,2340,2023-07-09,2,0.0523059999999999,0.8770807143063064
736523,2340,2023-07-10,3,0.2271657034419843,0.7838055327657893
736523,2364,2023-06-15,1,0.170801,1.8381779252204842
736523,2364,2023-06-24,1,21.436672,2.5754289140459563
736523,2364,2023-07-07,1,0.00355,1.14991990958825
736523,2407,2023-06-08,5,0.4459157999999999,1.4109834699013062
736523,2407,2023-06-09,1,0.111236,1.514757646558233
736523,2407,2023-06-10,4,0.4929445,1.4637698996935107
736523,2407,2023-06-11,3,1.210538,1.4272641652310276
736523,2407,2023-06-13,4,0.4752409999999999,1.5328750296929365
736523,2407,2023-06-14,1,0.000809,1.5799948564440103
736523,2407,2023-06-15,1,4.331844,1.6266936857765841
736523,2407,2023-06-17,3,1.5187983333333333,1.5025859177230045
736523,2407,2023-06-18,2,0.035192,1.4722493445988176
736523,2407,2023-06-19,1,16.586672,1.6372757633112296
736523,2407,2023-06-21,1,0.262773,1.5709671879709308
736523,2407,2023-06-22,2,0.303167,1.384918979922139
736523,2407,2023-06-23,1,0.095881,1.5526823043307125
736523,2407,2023-06-24,2,9.8475265,2.0550085178666135
736523,2407,2023-06-25,2,1.6603445,1.3094066807014904
736523,2407,2023-06-26,3,0.3768233333333333,1.3062639035475652
736523,2407,2023-06-27,4,0.4908855,1.2557696191845493
736523,2407,2023-06-28,1,0.5014029999999999,1.294741858706393
736523,2407,2023-06-29,3,0.6442489999999998,1.1203228450959168
736523,2407,2023-06-30,1,1.420797,1.1950226901257568
736523,2407,2023-07-01,5,0.8519825999999999,1.31419951573191
736523,2407,2023-07-02,1,1.952785,1.2759102605070658
736523,2407,2023-07-03,2,0.2242135,1.1663820741916406
736523,2407,2023-07-04,2,0.2047959999999999,0.9890547510951433
736523,2407,2023-07-06,4,0.7251814196408678,0.8840237227089864
736523,2407,2023-07-07,3,0.6374000616024834,0.8761323623890658
736523,2407,2023-07-08,6,0.7074009474487304,0.9569879328349973
736523,2407,2023-07-09,4,0.97790625,0.8122135565662216
736523,2407,2023-07-10,4,0.3379087770342851,0.8155589883562288
736523,2457,2023-06-08,14,0.8509632857142857,2.005337421557689
736523,2457,2023-06-09,14,0.7496592142857142,2.0671450662378335
736523,2457,2023-06-10,20,1.38215625,2.123555051803828
736523,2457,2023-06-11,22,0.7866292727272727,2.105369445840303
736523,2457,2023-06-12,16,2.3353228047583494,1.9773240692289402
736523,2457,2023-06-13,22,0.9586982944975564,2.058233601388963
736523,2457,2023-06-14,27,2.0840152860002936,2.085298593700771
736523,2457,2023-06-15,27,2.6477171851851846,2.1186381890078425
736523,2457,2023-06-16,23,0.8823528920719745,2.122160248634471
736523,2457,2023-06-17,31,1.938746756421819,2.062102694922516
736523,2457,2023-06-18,31,0.9283916451612904,1.9996199498366367
736523,2457,2023-06-19,24,2.2540345956588546,2.03352003922302
736523,2457,2023-06-20,35,1.6507953643577569,1.86762789608753
736523,2457,2023-06-21,33,2.3939886009731914,1.9339188097094728
736523,2457,2023-06-22,32,1.4655928466165948,1.8425752566921365
736523,2457,2023-06-23,14,1.058426142615673,1.9044558169989503
